cohort_month,cohort_customers,month_offset,active_customers,retention_pct
2023-04-01,84,4,27,32.1
2023-04-01,84,5,28,33.3
2023-04-01,84,6,21,25.0
2023-04-01,84,7,30,35.7
2023-04-01,84,8,32,38.1
2023-04-01,84,9,38,45.2
2023-04-01,84,10,31,36.9
2023-04-01,84,11,35,41.7
2023-04-01,84,12,33,39.3
2023-04-01,84,13,26,31.0
2023-04-01,84,14,31,36.9
2023-04-01,84,15,12,14.3
2023-04-01,84,16,15,17.9
2023-04-01,84,17,9,10.7
2023-04-01,84,18,11,13.1
2023-04-01,84,19,13,15.5
2023-04-01,84,20,27,32.1
2023-05-01,55,0,55,100.0
2023-05-01,55,1,21,38.2
2023-05-01,55,2,20,36.4
2023-05-01,55,3,28,50.9
2023-05-01,55,4,18,32.7
2023-05-01,55,5,17,30.9
2023-05-01,55,6,20,36.4
2023-05-01,55,7,16,29.1
2023-05-01,55,8,20,36.4
2023-05-01,55,9,19,34.5
2023-05-01,55,10,23,41.8
2023-05-01,55,11,19,34.5
2023-05-01,55,12,21,38.2
2023-05-01,55,13,15,27.3
2023-05-01,55,14,3,5.5
2023-05-01,55,15,6,10.9
2023-05-01,55,16,5,9.1
2023-05-01,55,17,8,14.5
2023-05-01,55,18,8,14.5
2023-05-01,55,19,13,23.6
2023-06-01,40,0,40,100.0
2023-06-01,40,1,19,47.5
2023-06-01,40,2,17,42.5
2023-06-01,40,3,11,27.5
2023-06-01,40,4,14,35.0
2023-06-01,40,5,10,25.0
2023-06-01,40,6,15,37.5
2023-06-01,40,7,17,42.5
2023-06-01,40,8,16,40.0
2023-06-01,40,9,16,40.0
2023-06-01,40,10,15,37.5
2023-06-01,40,11,13,32.5
2023-06-01,40,12,15,37.5
2023-06-01,40,13,6,15.0
2023-06-01,40,14,7,17.5
2023-06-01,40,15,6,15.0
2023-06-01,40,16,4,10.0
2023-06-01,40,17,6,15.0
2023-06-01,40,18,12,30.0
2023-07-01,24,0,24,100.0
2023-07-01,24,1,10,41.7
2023-07-01,24,2,8,33.3
2023-07-01,24,3,11,45.8
2023-07-01,24,4,9,37.5
2023-07-01,24,5,6,25.0
2023-07-01,24,6,10,41.7
2023-07-01,24,7,11,45.8
2023-07-01,24,8,9,37.5
2023-07-01,24,9,11,45.8
2023-07-01,24,10,6,25.0
2023-07-01,24,11,7,29.2
2023-07-01,24,12,2,8.3
2023-07-01,24,13,1,4.2
2023-07-01,24,16,2,8.3
2023-07-01,24,17,2,8.3
2023-08-01,15,0,15,100.0
2023-08-01,15,1,6,40.0
2023-08-01,15,2,5,33.3
2023-08-01,15,3,6,40.0
2023-08-01,15,4,10,66.7
2023-08-01,15,5,7,46.7
2023-08-01,15,6,2,13.3
2023-08-01,15,7,8,53.3
2023-08-01,15,8,7,46.7
2023-08-01,15,9,6,40.0
2023-08-01,15,10,2,13.3
2023-08-01,15,11,1,6.7
2023-08-01,15,12,1,6.7
2023-08-01,15,13,2,13.3
2023-08-01,15,14,2,13.3
2023-08-01,15,15,1,6.7
2023-08-01,15,16,2,13.3
2023-09-01,8,0,8,100.0
2023-09-01,8,1,3,37.5
2023-09-01,8,2,4,50.0
2023-09-01,8,3,3,37.5
2023-09-01,8,4,5,62.5
2023-09-01,8,5,2,25.0
2023-09-01,8,6,6,75.0
2023-09-01,8,7,4,50.0
2023-09-01,8,8,4,50.0
2023-09-01,8,9,1,12.5
2023-10-01,8,0,8,100.0
2023-10-01,8,1,1,12.5
2023-10-01,8,2,3,37.5
2023-10-01,8,3,5,62.5
2023-10-01,8,4,3,37.5
2023-10-01,8,5,5,62.5
2023-10-01,8,6,2,25.0
2023-10-01,8,7,5,62.5
2023-10-01,8,8,1,12.5
2023-11-01,3,0,3,100.0
2023-11-01,3,2,3,100.0
2023-11-01,3,3,1,33.3
2023-11-01,3,4,2,66.7
2023-11-01,3,5,2,66.7
2023-11-01,3,6,1,33.3
2023-11-01,3,7,1,33.3
2024-02-01,1,0,1,100.0
2024-02-01,1,1,1,100.0
2024-02-01,1,3,1,100.0
2024-08-01,189,0,189,100.0
2024-08-01,189,1,178,94.2
2024-08-01,189,2,184,97.4
2024-08-01,189,3,11,5.8
2024-09-01,10,0,10,100.0
2024-09-01,10,1,10,100.0
2024-10-01,22,0,22,100.0
2024-10-01,22,1,9,40.9
2024-10-01,22,2,7,31.8
2024-11-01,56,0,56,100.0
2024-11-01,56,1,38,67.9
2024-12-01,113,0,113,100.0
2025-01-01,1,0,1,100.0
